onset	duration	trial_type	condition	pairmate	pairID
13.5	1	scene	nonviolation	A	52
15.0565007799305	1	reward	n/a	n/a	n/a
18.0	1	scene	nonviolation	A	63
19.556444667745378	1	neutral	n/a	n/a	n/a
22.5	1	scene	violation	A	40
24.056374804116782	1	neutral	n/a	n/a	n/a
27.0	1	scene	nonviolation	A	72
28.556314239744097	1	reward	n/a	n/a	n/a
31.5	1	scene	violation	A	15
33.05626440094784	1	neutral	n/a	n/a	n/a
36.0	1	scene	nonviolation	A	84
37.55620154505596	1	neutral	n/a	n/a	n/a
40.5	1	scene	nonviolation	A	56
42.05613713897765	1	neutral	n/a	n/a	n/a
45.0	1	scene	violation	A	3
46.5560790169984	1	neutral	n/a	n/a	n/a
49.5	1	scene	nonviolation	A	55
51.05602595675737	1	reward	n/a	n/a	n/a
54.0	1	scene	nonviolation	A	75
55.555960564874106	1	neutral	n/a	n/a	n/a
58.5	1	scene	nonviolation	A	57
60.05590621894226	1	neutral	n/a	n/a	n/a
63.0	1	scene	nonviolation	A	83
64.55584973376243	1	reward	n/a	n/a	n/a
67.5	1	scene	nonviolation	A	70
69.05578754097222	1	neutral	n/a	n/a	n/a
72.0	1	scene	violation	A	42
73.55573164485395	1	reward	n/a	n/a	n/a
76.5	1	scene	nonviolation	A	59
78.05566314700991	1	reward	n/a	n/a	n/a
81.0	1	scene	violation	A	13
82.55560269113629	1	reward	n/a	n/a	n/a
85.5	1	scene	nonviolation	A	58
87.05554391210899	1	reward	n/a	n/a	n/a
90.0	1	scene	violation	A	43
91.55548413610086	1	neutral	n/a	n/a	n/a
94.5	1	scene	violation	A	21
96.05543046211822	1	neutral	n/a	n/a	n/a
99.0	1	scene	violation	A	20
100.55536832986401	1	neutral	n/a	n/a	n/a
103.5	1	scene	violation	A	45
105.05530735105276	1	neutral	n/a	n/a	n/a
108.0	1	scene	nonviolation	A	80
109.55525062885135	1	reward	n/a	n/a	n/a
112.5	1	scene	violation	A	5
114.0551918777637	1	reward	n/a	n/a	n/a
117.0	1	scene	violation	A	29
118.55513130500911	1	neutral	n/a	n/a	n/a
121.5	1	scene	violation	A	35
123.05507114483044	1	reward	n/a	n/a	n/a
126.0	1	scene	violation	A	26
127.55502288974822	1	neutral	n/a	n/a	n/a
130.5	1	scene	violation	A	34
132.05494757601988	1	reward	n/a	n/a	n/a
135.0	1	scene	violation	A	4
136.55488871596754	1	reward	n/a	n/a	n/a
139.5	1	scene	nonviolation	A	90
141.05483191413802	1	neutral	n/a	n/a	n/a
144.0	1	scene	nonviolation	A	66
145.5547683890909	1	reward	n/a	n/a	n/a
148.5	1	scene	nonviolation	A	95
150.0547112338245	1	neutral	n/a	n/a	n/a
153.0	1	scene	nonviolation	A	92
154.5546589558944	1	reward	n/a	n/a	n/a
157.5	1	scene	violation	A	10
159.0545991519466	1	neutral	n/a	n/a	n/a
162.0	1	scene	nonviolation	A	49
163.554536039941	1	neutral	n/a	n/a	n/a
166.5	1	scene	nonviolation	A	82
168.05447167670354	1	reward	n/a	n/a	n/a
171.0	1	scene	nonviolation	A	96
172.5544109689072	1	reward	n/a	n/a	n/a
175.5	1	scene	nonviolation	A	87
177.05434781080112	1	neutral	n/a	n/a	n/a
180.0	1	scene	violation	A	44
181.55428933585063	1	reward	n/a	n/a	n/a
184.5	1	scene	nonviolation	A	73
186.05424857698378	1	reward	n/a	n/a	n/a
189.0	1	scene	nonviolation	A	79
190.55416918173432	1	neutral	n/a	n/a	n/a
193.5	1	scene	violation	A	25
195.0541081069969	1	reward	n/a	n/a	n/a
198.0	1	scene	nonviolation	A	67
199.55404756404462	1	neutral	n/a	n/a	n/a
202.5	1	scene	violation	A	36
204.0539921107702	1	neutral	n/a	n/a	n/a
207.0	1	scene	violation	A	12
208.55392511887482	1	reward	n/a	n/a	n/a
211.5	1	scene	violation	A	28
213.0538669489324	1	reward	n/a	n/a	n/a
216.0	1	scene	violation	A	8
217.5538122430444	1	neutral	n/a	n/a	n/a
220.5	1	scene	violation	A	19
222.0537514160387	1	reward	n/a	n/a	n/a
225.0	1	scene	violation	A	17
226.5536857699044	1	reward	n/a	n/a	n/a
