onset	duration	trial_type	condition	pairmate	pairID
13.5	1	scene	nonviolation	A	67
15.05107697378844	1	reward	n/a	n/a	n/a
18.0	1	scene	nonviolation	A	90
19.55101876892149	1	neutral	n/a	n/a	n/a
22.5	1	scene	nonviolation	A	74
24.050969622097913	1	neutral	n/a	n/a	n/a
27.0	1	scene	nonviolation	A	89
28.55088141001761	1	neutral	n/a	n/a	n/a
31.5	1	scene	violation	A	28
33.05083407368511	1	neutral	n/a	n/a	n/a
36.0	1	scene	nonviolation	A	83
37.550775160081685	1	neutral	n/a	n/a	n/a
40.5	1	scene	violation	A	2
42.050717889796935	1	reward	n/a	n/a	n/a
45.0	1	scene	nonviolation	A	68
46.567325694020845	1	neutral	n/a	n/a	n/a
49.5	1	scene	nonviolation	A	58
51.067295368760824	1	reward	n/a	n/a	n/a
54.0	1	scene	nonviolation	A	96
55.55053610168397	1	reward	n/a	n/a	n/a
58.5	1	scene	violation	A	11
60.05047672893852	1	reward	n/a	n/a	n/a
63.0	1	scene	nonviolation	A	75
64.56709061190486	1	reward	n/a	n/a	n/a
67.5	1	scene	violation	A	26
69.06702897278592	1	reward	n/a	n/a	n/a
72.0	1	scene	violation	A	37
73.56697815190999	1	neutral	n/a	n/a	n/a
76.5	1	scene	violation	A	9
78.06690948596224	1	neutral	n/a	n/a	n/a
81.0	1	scene	violation	A	33
82.56685033766553	1	neutral	n/a	n/a	n/a
85.5	1	scene	violation	A	22
87.06678799074145	1	reward	n/a	n/a	n/a
90.0	1	scene	violation	A	3
91.56673346692696	1	neutral	n/a	n/a	n/a
94.5	1	scene	violation	A	32
96.06667462782934	1	reward	n/a	n/a	n/a
99.0	1	scene	violation	A	44
100.56661041779444	1	reward	n/a	n/a	n/a
103.5	1	scene	violation	A	20
105.06655924394728	1	neutral	n/a	n/a	n/a
108.0	1	scene	nonviolation	A	50
109.56650013569742	1	reward	n/a	n/a	n/a
112.5	1	scene	violation	A	17
114.06642837496473	1	neutral	n/a	n/a	n/a
117.0	1	scene	nonviolation	A	92
118.56637036288157	1	reward	n/a	n/a	n/a
121.5	1	scene	nonviolation	A	82
123.06631770497187	1	reward	n/a	n/a	n/a
126.0	1	scene	violation	A	10
127.56625846680254	1	neutral	n/a	n/a	n/a
130.5	1	scene	nonviolation	A	64
132.06619841465726	1	neutral	n/a	n/a	n/a
135.0	1	scene	nonviolation	A	56
136.56612548278645	1	neutral	n/a	n/a	n/a
139.5	1	scene	nonviolation	A	65
141.06606773473322	1	neutral	n/a	n/a	n/a
144.0	1	scene	violation	A	48
145.56601986801252	1	reward	n/a	n/a	n/a
148.5	1	scene	violation	A	45
150.0659453147091	1	neutral	n/a	n/a	n/a
153.0	1	scene	nonviolation	A	54
154.56588786188513	1	neutral	n/a	n/a	n/a
157.5	1	scene	nonviolation	A	59
159.06582596804947	1	neutral	n/a	n/a	n/a
162.0	1	scene	violation	A	36
163.56577824102717	1	reward	n/a	n/a	n/a
166.5	1	scene	nonviolation	A	79
168.06570733664557	1	reward	n/a	n/a	n/a
171.0	1	scene	nonviolation	A	88
172.5656553376466	1	reward	n/a	n/a	n/a
175.5	1	scene	violation	A	14
177.06558420090005	1	reward	n/a	n/a	n/a
180.0	1	scene	nonviolation	A	85
181.56552885798737	1	neutral	n/a	n/a	n/a
184.5	1	scene	nonviolation	A	76
186.0654631918296	1	neutral	n/a	n/a	n/a
189.0	1	scene	violation	A	46
190.5654142848216	1	neutral	n/a	n/a	n/a
193.5	1	scene	violation	A	27
195.065352503676	1	neutral	n/a	n/a	n/a
198.0	1	scene	nonviolation	A	55
199.56528710294518	1	reward	n/a	n/a	n/a
202.5	1	scene	nonviolation	A	69
204.06522490596402	1	reward	n/a	n/a	n/a
207.0	1	scene	violation	A	40
208.565160728991	1	reward	n/a	n/a	n/a
211.5	1	scene	violation	A	19
213.06510875886303	1	reward	n/a	n/a	n/a
216.0	1	scene	violation	A	6
217.56505112582818	1	neutral	n/a	n/a	n/a
220.5	1	scene	nonviolation	A	57
222.06497971480712	1	reward	n/a	n/a	n/a
225.0	1	scene	violation	A	8
226.56493271281946	1	reward	n/a	n/a	n/a
