onset	duration	trial_type	condition	pairmate	pairID
13.5	1	scene	violation	A	42
15.064394893008284	1	reward	n/a	n/a	n/a
18.0	1	scene	nonviolation	A	57
19.56433585600461	1	neutral	n/a	n/a	n/a
22.5	1	scene	nonviolation	A	53
24.06428170099389	1	neutral	n/a	n/a	n/a
27.0	1	scene	violation	A	2
28.56421793496702	1	reward	n/a	n/a	n/a
31.5	1	scene	nonviolation	A	54
33.06420572195202	1	neutral	n/a	n/a	n/a
36.0	1	scene	nonviolation	A	89
37.56409997900482	1	neutral	n/a	n/a	n/a
40.5	1	scene	violation	A	48
42.06403402495198	1	neutral	n/a	n/a	n/a
45.0	1	scene	violation	A	11
46.56397812801879	1	neutral	n/a	n/a	n/a
49.5	1	scene	violation	A	5
51.06393264699727	1	reward	n/a	n/a	n/a
54.0	1	scene	violation	A	47
55.563861574977636	1	neutral	n/a	n/a	n/a
58.5	1	scene	nonviolation	A	58
60.063798760995276	1	reward	n/a	n/a	n/a
63.0	1	scene	nonviolation	A	74
64.56373356096447	1	reward	n/a	n/a	n/a
67.5	1	scene	nonviolation	A	72
69.06367594003677	1	neutral	n/a	n/a	n/a
72.0	1	scene	violation	A	24
73.56361849501263	1	reward	n/a	n/a	n/a
76.5	1	scene	violation	A	7
78.0635608260054	1	neutral	n/a	n/a	n/a
81.0	1	scene	nonviolation	A	55
82.56350003299303	1	reward	n/a	n/a	n/a
85.5	1	scene	violation	A	13
87.0634350409964	1	neutral	n/a	n/a	n/a
90.0	1	scene	nonviolation	A	67
91.56337709899526	1	reward	n/a	n/a	n/a
94.5	1	scene	violation	A	31
96.06332610198295	1	neutral	n/a	n/a	n/a
99.0	1	scene	nonviolation	A	84
100.56325751903931	1	reward	n/a	n/a	n/a
103.5	1	scene	nonviolation	A	52
105.06320378195959	1	reward	n/a	n/a	n/a
108.0	1	scene	nonviolation	A	91
109.563146297005	1	reward	n/a	n/a	n/a
112.5	1	scene	nonviolation	A	95
114.06307818205096	1	reward	n/a	n/a	n/a
117.0	1	scene	nonviolation	A	73
118.56302086403593	1	neutral	n/a	n/a	n/a
121.5	1	scene	violation	A	12
123.0629957850324	1	reward	n/a	n/a	n/a
126.0	1	scene	violation	A	39
127.56290691101458	1	neutral	n/a	n/a	n/a
130.5	1	scene	violation	A	22
132.0628330890322	1	neutral	n/a	n/a	n/a
135.0	1	scene	violation	A	29
136.56277521001178	1	reward	n/a	n/a	n/a
139.5	1	scene	nonviolation	A	71
141.06274606997613	1	neutral	n/a	n/a	n/a
144.0	1	scene	violation	A	8
145.56265521398745	1	neutral	n/a	n/a	n/a
148.5	1	scene	nonviolation	A	63
150.0625982170459	1	reward	n/a	n/a	n/a
153.0	1	scene	nonviolation	A	92
154.5625332179479	1	neutral	n/a	n/a	n/a
157.5	1	scene	violation	A	19
159.06247329805046	1	reward	n/a	n/a	n/a
162.0	1	scene	nonviolation	A	59
163.56242009799465	1	neutral	n/a	n/a	n/a
166.5	1	scene	nonviolation	A	88
168.06235801102594	1	reward	n/a	n/a	n/a
171.0	1	scene	violation	A	40
172.5622955330182	1	reward	n/a	n/a	n/a
175.5	1	scene	violation	A	36
177.0622367189499	1	reward	n/a	n/a	n/a
180.0	1	scene	nonviolation	A	83
181.56217458704486	1	neutral	n/a	n/a	n/a
184.5	1	scene	nonviolation	A	78
186.06210969295356	1	reward	n/a	n/a	n/a
189.0	1	scene	nonviolation	A	65
190.56205680104904	1	reward	n/a	n/a	n/a
193.5	1	scene	violation	A	25
195.0619903280167	1	neutral	n/a	n/a	n/a
198.0	1	scene	violation	A	46
199.5619330960326	1	reward	n/a	n/a	n/a
202.5	1	scene	nonviolation	A	87
204.06187035201583	1	neutral	n/a	n/a	n/a
207.0	1	scene	violation	A	20
208.56180888903327	1	neutral	n/a	n/a	n/a
211.5	1	scene	violation	A	38
213.0617891059956	1	neutral	n/a	n/a	n/a
216.0	1	scene	violation	A	28
217.56169349898116	1	reward	n/a	n/a	n/a
220.5	1	scene	violation	A	9
222.06162866496012	1	reward	n/a	n/a	n/a
225.0	1	scene	nonviolation	A	77
226.5615685749799	1	neutral	n/a	n/a	n/a
